price,quantity,type,timestamp
98783000,0.8616,1,2024-04-15 19:08:33
98796000,0.0102,1,2024-04-15 19:08:33
98798000,0.0001,1,2024-04-15 19:08:33
98800000,0.0001,1,2024-04-15 19:08:33
98801000,0.0002,1,2024-04-15 19:08:33
98769000,0.0351,0,2024-04-15 19:08:39
98765000,0.429,0,2024-04-15 19:08:39
98759000,0.0254,0,2024-04-15 19:08:39
98757000,0.0003,0,2024-04-15 19:08:39
98755000,0.0437,0,2024-04-15 19:08:39
98783000,0.0004,1,2024-04-15 19:08:39
98796000,0.0102,1,2024-04-15 19:08:39
98798000,0.0001,1,2024-04-15 19:08:39
98800000,0.0001,1,2024-04-15 19:08:39
98801000,0.0002,1,2024-04-15 19:08:39
98765000,0.429,0,2024-04-15 19:08:44
98757000,0.0001,0,2024-04-15 19:08:44
98750000,0.0001,0,2024-04-15 19:08:44
98746000,0.01,0,2024-04-15 19:08:44
98744000,0.0001,0,2024-04-15 19:08:44
98769000,0.8177,1,2024-04-15 19:08:44
98783000,0.0002,1,2024-04-15 19:08:44
98796000,0.0102,1,2024-04-15 19:08:44
98798000,0.0001,1,2024-04-15 19:08:44
98799000,0.0002,1,2024-04-15 19:08:44
98772000,0.357,0,2024-04-15 19:08:49
98771000,0.0256,0,2024-04-15 19:08:49
98767000,0.0217,0,2024-04-15 19:08:49
98766000,0.1082,0,2024-04-15 19:08:49
98765000,0.8073,0,2024-04-15 19:08:49
98796000,0.0102,1,2024-04-15 19:08:49
98798000,0.0001,1,2024-04-15 19:08:49
98799000,0.0002,1,2024-04-15 19:08:49
98800000,0.0001,1,2024-04-15 19:08:49
98801000,0.0002,1,2024-04-15 19:08:49
98772000,0.3573,0,2024-04-15 19:08:54
98771000,0.0254,0,2024-04-15 19:08:54
98767000,0.0217,0,2024-04-15 19:08:54
98766000,0.1082,0,2024-04-15 19:08:54
98765000,0.8073,0,2024-04-15 19:08:54
98796000,0.004,1,2024-04-15 19:08:54
98798000,0.0001,1,2024-04-15 19:08:54
98799000,0.0002,1,2024-04-15 19:08:54
98800000,0.0001,1,2024-04-15 19:08:54
98801000,0.0002,1,2024-04-15 19:08:54
98799000,0.0007,0,2024-04-15 19:08:59
98777000,0.0002,0,2024-04-15 19:08:59
98770000,0.0499,0,2024-04-15 19:08:59
98769000,0.0224,0,2024-04-15 19:08:59
98768000,0.0824,0,2024-04-15 19:08:59
98800000,0.0001,1,2024-04-15 19:08:59
98801000,0.0002,1,2024-04-15 19:08:59
98803000,0.0079,1,2024-04-15 19:08:59
98804000,0.0006,1,2024-04-15 19:08:59
98809000,0.0006,1,2024-04-15 19:08:59
98799000,0.0005,0,2024-04-15 19:09:04
98781000,0.3572,0,2024-04-15 19:09:04
98777000,0.0002,0,2024-04-15 19:09:04
98770000,0.0499,0,2024-04-15 19:09:04
98769000,0.0224,0,2024-04-15 19:09:04
98800000,0.0,1,2024-04-15 19:09:04
98801000,0.0002,1,2024-04-15 19:09:04
98803000,0.0079,1,2024-04-15 19:09:04
98804000,0.0006,1,2024-04-15 19:09:04
98809000,0.0006,1,2024-04-15 19:09:04
98799000,0.0009,0,2024-04-15 19:09:09
98798000,0.0004,0,2024-04-15 19:09:09
98797000,0.0004,0,2024-04-15 19:09:09
98796000,0.0004,0,2024-04-15 19:09:09
98781000,0.3572,0,2024-04-15 19:09:09
98800000,0.0,1,2024-04-15 19:09:09
98801000,0.0002,1,2024-04-15 19:09:09
98803000,0.0079,1,2024-04-15 19:09:09
98804000,0.0006,1,2024-04-15 19:09:09
98809000,0.0006,1,2024-04-15 19:09:09
98796000,0.0001,0,2024-04-15 19:09:14
98793000,0.0002,0,2024-04-15 19:09:14
98787000,0.0155,0,2024-04-15 19:09:14
98786000,0.0568,0,2024-04-15 19:09:14
98785000,0.1146,0,2024-04-15 19:09:14
98799000,0.0,1,2024-04-15 19:09:14
98801000,0.0002,1,2024-04-15 19:09:14
98803000,0.0079,1,2024-04-15 19:09:14
98804000,0.0006,1,2024-04-15 19:09:14
98809000,0.0006,1,2024-04-15 19:09:14
98790000,0.0002,0,2024-04-15 19:09:19
98786000,0.0001,0,2024-04-15 19:09:19
98783000,0.0501,0,2024-04-15 19:09:19
98782000,0.0224,0,2024-04-15 19:09:19
98781000,0.4718,0,2024-04-15 19:09:19
98799000,0.0033,1,2024-04-15 19:09:19
98801000,0.0002,1,2024-04-15 19:09:19
98803000,0.0079,1,2024-04-15 19:09:19
98804000,0.0006,1,2024-04-15 19:09:19
98809000,0.0006,1,2024-04-15 19:09:19
98786000,0.005,0,2024-04-15 19:09:24
98781000,0.0003,0,2024-04-15 19:09:24
98774000,0.0499,0,2024-04-15 19:09:24
98773000,0.0224,0,2024-04-15 19:09:24
98772000,0.1146,0,2024-04-15 19:09:24
98790000,0.0022,1,2024-04-15 19:09:24
98799000,0.0026,1,2024-04-15 19:09:24
98801000,0.0002,1,2024-04-15 19:09:24
98803000,0.0079,1,2024-04-15 19:09:24
98804000,0.0006,1,2024-04-15 19:09:24
98786000,0.0051,0,2024-04-15 19:09:29
98778000,0.0002,0,2024-04-15 19:09:29
98771000,0.0722,0,2024-04-15 19:09:29
98770000,0.0322,0,2024-04-15 19:09:29
98769000,0.0823,0,2024-04-15 19:09:29
98790000,0.0022,1,2024-04-15 19:09:29
98799000,0.0026,1,2024-04-15 19:09:29
98801000,0.0002,1,2024-04-15 19:09:29
98803000,0.0079,1,2024-04-15 19:09:29
98804000,0.0006,1,2024-04-15 19:09:29
98786000,0.0051,0,2024-04-15 19:09:35
98767000,0.357,0,2024-04-15 19:09:35
98765000,0.7858,0,2024-04-15 19:09:35
98763000,0.0649,0,2024-04-15 19:09:35
98759000,0.0002,0,2024-04-15 19:09:35
98790000,0.0022,1,2024-04-15 19:09:35
98799000,0.0026,1,2024-04-15 19:09:35
98801000,0.0002,1,2024-04-15 19:09:35
98803000,0.0079,1,2024-04-15 19:09:35
98804000,0.0006,1,2024-04-15 19:09:35
98786000,0.0051,0,2024-04-15 19:09:40
98767000,0.3572,0,2024-04-15 19:09:40
98765000,0.4288,0,2024-04-15 19:09:40
98763000,0.0649,0,2024-04-15 19:09:40
98759000,0.0002,0,2024-04-15 19:09:40
98790000,0.001,1,2024-04-15 19:09:40
